script_path,syntax_status,safety_status,runnable_status,notes
03_TOOLS/scripts/export_gerbers.ps1,PENDING_POWERSHELL_AST_PARSE,LOW_RISK_STATIC,PENDING_PARSE,
03_TOOLS/scripts/export_step.ps1,PENDING_POWERSHELL_AST_PARSE,LOW_RISK_STATIC,PENDING_PARSE,
03_TOOLS/scripts/find_kicad_project_files.ps1,PENDING_POWERSHELL_AST_PARSE,LOW_RISK_STATIC,PENDING_PARSE,
03_TOOLS/scripts/full_verify_project.ps1,PENDING_POWERSHELL_AST_PARSE,LOW_RISK_STATIC,PENDING_PARSE,
03_TOOLS/scripts/indexing/build_history_index.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/indexing/build_known_problems.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/indexing/build_memory_index.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/indexing/build_repo_index.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/kicad_libraries/find_footprint_candidates.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/kicad_libraries/find_symbol_candidates.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/kicad_libraries/index_3d_models.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/kicad_libraries/index_footprints.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/kicad_libraries/index_symbols.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/kicad_schematic_checks/check_bom_lock_alignment.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
